Phylum AIS1 BV1 BV2 BV3 EM1 EM2 EM3 EM4 LG1 LG2 LG3 LG4 LG5 LG6 LG7 MA1 MA2 MBL1 MBL2 MV1 MV2 PC1 PM1 PM2 RM1 RM2
Nitrospinota 0 0.000158618258724004 0 3.88544512257085e-05 0 0 0 0.000138291068125637 0.00010667536803002 0.00109373399464037 0.000218167796403783 0.79959699622725 4.37288461706649e-05 5.39533058661958e-05 5.28827721149143e-05 0.0396523388116308 0.0426295871203896 3.53801955817212e-05 2.93101132103123e-05 5.23771755233976e-05 5.35233667726939e-05 0 0.253849804543581 0 0 9.29055406942286e-05
Nitrospirota 0.00375422350143912 0.0174480084596405 0.0224175690473294 0.00534398144550514 0 0.0033890290037831 0.00303101873720674 0.00539335165689986 0.0225796195663542 0.00125234194552478 0.00765109388318383 0.0016615489676034 0.00638441154091708 0.00391897194428095 0.00130884860984413 0.0838685208596713 0.0479805813196017 0.00749706344376672 0.00956242443486438 0.144561004444577 0.118661304135062 0.000136989428982397 0.0281756984600782 0 0.00667247854077253 0.0221531659965721
Omnitrophota 0 0.0025555163905534 0.00942937096970434 0.00173051748151425 0 0 0.000196819398519918 0.000242009369219866 0.0475249222943152 0.00687631553730096 0.016276332345659 0.0038953825289689 0.00711905615658425 0.0159358446144791 0.00218141434974021 0.00695954487989886 0.00753792226323789 0.000198129095257639 0.000192958245301222 0.000381605135956183 0.000336432591142647 5.32736668264877e-05 0.0100288501167743 0 0.000301770386266094 0.000227458392734146
Other 0.0347891377800025 0.00541064504758548 0.00769558340430709 0.00733452486983759 0.0135069946936807 0.0200189155107188 0.0155093686033695 0.0196891908243876 0.0551553486192861 0.0500936778209911 0.0708690181434428 0.0160864871103716 0.0910609492657927 0.0432950755346282 0.0173808044351018 0.0255246523388116 0.0191705183484816 0.0226504012114179 0.0103269298877667 0.0313065860556994 0.0301986481526792 0.00450543010875439 0.0137631293009779 0.0103719599427754 0.00860045600858369 0.0114722324560701
Patescibacteria 0.0347891377800025 0.0280930560451181 0.075191629151965 0.0060672719990914 0.0130246020260492 0.0177332912988651 0.0379074161549362 0.0879531193279054 0.0484264337378631 0.0237713666388001 0.148135933758169 0.0176013580938595 0.0246455777017868 0.0329801844222091 0.00998162323669007 0.0333565107458913 0.0234358035797376 0.00665147676936358 0.00178058937752647 0.00757972554360026 0.00722183141668706 0.000273978857964794 0.0262898250259151 0.00286123032904149 0.0728775482832618 0.0367489468035689
Planctomycetota 0.00926041797021649 0.00327811068029609 0.00319381919941599 0.00401097488806929 0.0135069946936807 0.00433480453972257 0.004802393323886 0.00798630918425556 0.00950247445020352 0.0109538616079542 0.0139170759426878 0.00333271616367339 0.0212784565466456 0.0103688444182853 0.00744765707285043 0.00518331226295828 0.00504079163693892 0.00896534156040815 0.0163819107751304 0.0693698277539171 0.0685137325666748 0.00788450269032017 0.00268518402877518 0.00357653791130186 0.0839089324034335 0.0587451344727611
Pseudomonadota 0.561506695031911 0.0837680648572436 0.0255505535953279 0.0270905189161401 0.514712976362759 0.291456494325347 0.307392536608408 0.379228681567529 0.0172709512514485 0.0633010940644279 0.0120905548565166 0.0049942651312768 0.0534978704051915 0.15970178536394 0.399974439993478 0.0291466498103666 0.014703601451748 0.103044819631763 0.0708059059878119 0.232816545201502 0.289668460973819 0.0583498862226687 0.0148122244564063 0.263590844062947 0.336708690987124 0.521363468900671
Ratteibacteria 0 0.00749030666196687 0.0171249543740114 0.00150934598992175 0 0 0 0.000121004684609933 0.0404446062005581 0.0336810592367653 0.0778960506555181 0.00165673985337011 0.0219693723161421 0.00903472630959388 0.00479029777407598 0.17724399494311 0.146927443620684 0 0 0 0 0 0.0358753075472405 0 0.000117355150214592 2.24254753399862e-05
Thermoproteota 0.0162683018395695 0.0026612618963694 0.0175203796082248 0.000227149099473373 0 0.00598991172761665 0.0112974334750433 0.0218672751473664 0.00113368724455433 0.0133131548773597 0.00171997402281122 0.000363088124613768 0.0246805607787233 0.00156955071610751 0.0005552691072066 0.00229456384323641 0.000899587430592177 0.0448408598802734 0.00861473077439762 0.0850605330499977 0.0522388059701493 5.32736668264877e-05 4.37122981428518e-05 0 0.315014753218884 0.0995338704768617
Verrucomicrobiota 0.00463020898510825 0.00673246387028551 0.00739141014721986 0.00337435964875576 0.00675349734684033 0.00362547288776797 0.00354274917335853 0.00414873204376912 0.00609095434712583 0.00434519698777067 0.00481998619961846 0.000524193451429149 0.00680420846415546 0.00532175789680204 0.0010796899306795 0.101548672566372 0.295289574091882 0.00572805366468066 0.0100582538500055 0.0714873621357916 0.062863194274529 0.000943704955212067 0.0838401878379897 0.00357653791130186 0.00756102467811159 0.00491758637812555
