TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
438706	"GB_GCA_012270675.1"	1	1.0	1.33	0	0	50.0	0.96	0.58	0.58	22	0.0	1	0.0	0.0	"438706:GB_GCA_012270675.1:subspecies;438705:s__JAAXHW01 sp012270675:species;438704:g__JAAXHW01:genus;331080:f__GCA-2709665:family;288925:o__UBA2968:order;284998:c__UBA2968:class;284997:p__Latescibacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
438705	"s__JAAXHW01 sp012270675"	1	1.0	1.33	0	0	50.0	0.96	0.58	0.58	22	0.0	1	0.0	0.0	"438705:s__JAAXHW01 sp012270675:species;438704:g__JAAXHW01:genus;331080:f__GCA-2709665:family;288925:o__UBA2968:order;284998:c__UBA2968:class;284997:p__Latescibacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
438704	"g__JAAXHW01"	1	1.0	1.33	0	0	50.0	0.96	0.58	0.58	22	0.0	1	0.0	0.0	"438704:g__JAAXHW01:genus;331080:f__GCA-2709665:family;288925:o__UBA2968:order;284998:c__UBA2968:class;284997:p__Latescibacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
331080	"f__GCA-2709665"	1	1.0	1.33	0	0	50.0	0.96	0.58	0.58	22	0.0	1	0.0	0.0	"331080:f__GCA-2709665:family;288925:o__UBA2968:order;284998:c__UBA2968:class;284997:p__Latescibacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
9468	"GB_GCA_000402355.1"	1	1.0	1.35	0	0	39.0	0.9744	0.615	0.641	11	0.0	1	1.0	0.0	"9468:GB_GCA_000402355.1:subspecies;9467:s__Iainarchaeum andersonii:species;9466:g__Iainarchaeum:genus;6483:f__Iainarchaeaceae:family;3091:o__Iainarchaeales:order;2478:c__Iainarchaeia:class;2477:p__Iainarchaeota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
9467	"s__Iainarchaeum andersonii"	1	1.0	1.35	0	0	39.0	0.9744	0.615	0.641	11	0.0	1	1.0	0.0	"9467:s__Iainarchaeum andersonii:species;9466:g__Iainarchaeum:genus;6483:f__Iainarchaeaceae:family;3091:o__Iainarchaeales:order;2478:c__Iainarchaeia:class;2477:p__Iainarchaeota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
9466	"g__Iainarchaeum"	1	1.0	1.35	0	0	39.0	0.9744	0.615	0.641	11	0.0	1	1.0	0.0	"9466:g__Iainarchaeum:genus;6483:f__Iainarchaeaceae:family;3091:o__Iainarchaeales:order;2478:c__Iainarchaeia:class;2477:p__Iainarchaeota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
375626	"RS_GCF_001278115.1"	1	1.118	5.56	0	1.0	47.0	0.9716	0.362	0.39	17	0.105	9	1.0	0.0	"375626:RS_GCF_001278115.1:subspecies;375624:s__Flavobacterium akiainvivens:species;190478:g__Flavobacterium:genus;190477:f__Flavobacteriaceae:family;190476:o__Flavobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
375624	"s__Flavobacterium akiainvivens"	1	1.118	5.56	0	1.0	47.0	0.9716	0.362	0.39	17	0.105	9	1.0	0.0	"375624:s__Flavobacterium akiainvivens:species;190478:g__Flavobacterium:genus;190477:f__Flavobacteriaceae:family;190476:o__Flavobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
414580	"RS_GCF_009389585.1"	1	1.0	1.38	0.0	0	32.0	0.9688	0.344	0.375	4	0.0	1	0.0	0.0	"414580:RS_GCF_009389585.1:subspecies;414579:s__Oceanobacillus sp009389585:species;267367:g__Oceanobacillus:genus;260159:f__Amphibacillaceae:family;260158:o__Bacillales_D:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
414579	"s__Oceanobacillus sp009389585"	1	1.0	1.38	0.0	0	32.0	0.9688	0.344	0.375	4	0.0	1	0.0	0.0	"414579:s__Oceanobacillus sp009389585:species;267367:g__Oceanobacillus:genus;260159:f__Amphibacillaceae:family;260158:o__Bacillales_D:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
267367	"g__Oceanobacillus"	1	1.0	1.38	0.0	0	32.0	0.9688	0.344	0.375	4	0.0	1	0.0	0.0	"267367:g__Oceanobacillus:genus;260159:f__Amphibacillaceae:family;260158:o__Bacillales_D:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
454141	"GB_GCA_018268675.1"	1	1.0	2.44	0	0.0	42.0	0.9524	0.69	0.714	14	0.0	1	0.0	0.0	"454141:GB_GCA_018268675.1:subspecies;454140:s__VAYN01 sp018268675:species;389474:g__VAYN01:genus;298182:f__70-9:family;242818:o__Solirubrobacterales:order;242817:c__Thermoleophilia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
454140	"s__VAYN01 sp018268675"	1	1.0	2.44	0	0.0	42.0	0.9524	0.69	0.714	14	0.0	1	0.0	0.0	"454140:s__VAYN01 sp018268675:species;389474:g__VAYN01:genus;298182:f__70-9:family;242818:o__Solirubrobacterales:order;242817:c__Thermoleophilia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
445337	"GB_GCA_016210205.1"	1	1.0	2.71	0	0.0	31.0	0.9677	0.484	0.484	3	0.0	1	0.0	0.0	"445337:GB_GCA_016210205.1:subspecies;445336:s__JACQUO01 sp016210205:species;445335:g__JACQUO01:genus;445334:f__JACQUO01:family;445333:o__JAQUO01:order;252025:c__Dehalococcoidia:class;252024:p__Chloroflexota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
445336	"s__JACQUO01 sp016210205"	1	1.0	2.71	0	0.0	31.0	0.9677	0.484	0.484	3	0.0	1	0.0	0.0	"445336:s__JACQUO01 sp016210205:species;445335:g__JACQUO01:genus;445334:f__JACQUO01:family;445333:o__JAQUO01:order;252025:c__Dehalococcoidia:class;252024:p__Chloroflexota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
445335	"g__JACQUO01"	1	1.0	2.71	0	0.0	31.0	0.9677	0.484	0.484	3	0.0	1	0.0	0.0	"445335:g__JACQUO01:genus;445334:f__JACQUO01:family;445333:o__JAQUO01:order;252025:c__Dehalococcoidia:class;252024:p__Chloroflexota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
445334	"f__JACQUO01"	1	1.0	2.71	0	0.0	31.0	0.9677	0.484	0.484	3	0.0	1	0.0	0.0	"445334:f__JACQUO01:family;445333:o__JAQUO01:order;252025:c__Dehalococcoidia:class;252024:p__Chloroflexota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
445333	"o__JAQUO01"	1	1.0	2.71	0	0.0	31.0	0.9677	0.484	0.484	3	0.0	1	0.0	0.0	"445333:o__JAQUO01:order;252025:c__Dehalococcoidia:class;252024:p__Chloroflexota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
413718	"GB_GCA_944384925.1"	1	1.0	2.12	0	0.0	47.0	0.9574	0.362	0.34	19	0.0	1	0.0	0.0	"413718:GB_GCA_944384925.1:subspecies;413717:s__CALWVF01 sp944384925:species;413716:g__CALWVF01:genus;211032:f__Acutalibacteraceae:family;211031:o__Oscillospirales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
413717	"s__CALWVF01 sp944384925"	1	1.0	2.12	0	0.0	47.0	0.9574	0.362	0.34	19	0.0	1	0.0	0.0	"413717:s__CALWVF01 sp944384925:species;413716:g__CALWVF01:genus;211032:f__Acutalibacteraceae:family;211031:o__Oscillospirales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
413716	"g__CALWVF01"	1	1.0	2.12	0	0.0	47.0	0.9574	0.362	0.34	19	0.0	1	0.0	0.0	"413716:g__CALWVF01:genus;211032:f__Acutalibacteraceae:family;211031:o__Oscillospirales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
443940	"GB_GCA_903860135.1"	1	1.0	1.48	0	0.0	31.0	0.9677	0.452	0.484	3	0.0	1	0.0	0.0	"443940:GB_GCA_903860135.1:subspecies;443939:s__Fredricksoniimonas aquilentivivens:species;295029:g__Fredricksoniimonas:genus;295028:f__Fredricksoniimonadaceae:family;295027:o__Zapsychrales:order;284416:c__Koll11:class;284415:p__Omnitrophota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
443939	"s__Fredricksoniimonas aquilentivivens"	1	1.0	1.48	0	0.0	31.0	0.9677	0.452	0.484	3	0.0	1	0.0	0.0	"443939:s__Fredricksoniimonas aquilentivivens:species;295029:g__Fredricksoniimonas:genus;295028:f__Fredricksoniimonadaceae:family;295027:o__Zapsychrales:order;284416:c__Koll11:class;284415:p__Omnitrophota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
295029	"g__Fredricksoniimonas"	1	1.0	1.48	0	0.0	31.0	0.9677	0.452	0.484	3	0.0	1	0.0	0.0	"295029:g__Fredricksoniimonas:genus;295028:f__Fredricksoniimonadaceae:family;295027:o__Zapsychrales:order;284416:c__Koll11:class;284415:p__Omnitrophota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
378266	"GB_GCA_023457035.1"	1	1.0	1.81	0.0	0	34.0	0.9706	0.765	0.765	6	0.0	1	0.0	0.0	"378266:GB_GCA_023457035.1:subspecies;378265:s__CAJCBL01 sp023457035:species;354133:g__CAJCBL01:genus;235731:f__Opitutaceae:family;235730:o__Opitutales:order;191258:c__Verrucomicrobiae:class;191257:p__Verrucomicrobiota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
378265	"s__CAJCBL01 sp023457035"	1	1.0	1.81	0.0	0	34.0	0.9706	0.765	0.765	6	0.0	1	0.0	0.0	"378265:s__CAJCBL01 sp023457035:species;354133:g__CAJCBL01:genus;235731:f__Opitutaceae:family;235730:o__Opitutales:order;191258:c__Verrucomicrobiae:class;191257:p__Verrucomicrobiota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
354133	"g__CAJCBL01"	1	1.0	1.81	0.0	0	34.0	0.9706	0.765	0.765	6	0.0	1	0.0	0.0	"354133:g__CAJCBL01:genus;235731:f__Opitutaceae:family;235730:o__Opitutales:order;191258:c__Verrucomicrobiae:class;191257:p__Verrucomicrobiota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
415271	"GB_GCA_020633515.1"	1	1.0	12.03	0.0	0.0	49.0	0.9592	0.837	0.837	21	0.0	1	0.0	0.0	"415271:GB_GCA_020633515.1:subspecies;415270:s__JACKDM01 sp020633515:species;415269:g__JACKDM01:genus;341977:f__UBA1532:family;341976:o__UBA7976:order;306259:c__Bradymonadia:class;257763:p__Myxococcota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
415270	"s__JACKDM01 sp020633515"	1	1.0	12.03	0.0	0.0	49.0	0.9592	0.837	0.837	21	0.0	1	0.0	0.0	"415270:s__JACKDM01 sp020633515:species;415269:g__JACKDM01:genus;341977:f__UBA1532:family;341976:o__UBA7976:order;306259:c__Bradymonadia:class;257763:p__Myxococcota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
