TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
515360	"s__JACOUK01 sp016177905"	1	1.0	2.13	0	0.0	51.0	0.9608	0.314	0.353	23	0.0	1	1.0	1.0	"515360:s__JACOUK01 sp016177905:species;515359:g__JACOUK01:genus;362347:f__H02-43-30:family;362346:o__Spechtbacterales:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
515359	"g__JACOUK01"	1	1.0	2.13	0	0.0	51.0	0.9608	0.314	0.353	23	0.0	1	1.0	1.0	"515359:g__JACOUK01:genus;362347:f__H02-43-30:family;362346:o__Spechtbacterales:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
362347	"f__H02-43-30"	1	1.0	2.13	0	0.0	51.0	0.9608	0.314	0.353	23	0.0	1	1.0	1.0	"362347:f__H02-43-30:family;362346:o__Spechtbacterales:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
440372	"RS_GCF_901000775.1"	1	1.0	1.34	0	0	43.0	0.9767	0.395	0.372	15	0.0	1	0.0	0.0	"440372:RS_GCF_901000775.1:subspecies;440371:s__Rhabdochlamydia sp901000775:species;342888:g__Rhabdochlamydia:genus;280350:f__Rhabdochlamydiaceae:family;202085:o__Chlamydiales:order;202084:c__Chlamydiia:class;202083:p__Chlamydiota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
440371	"s__Rhabdochlamydia sp901000775"	1	1.0	1.34	0	0	43.0	0.9767	0.395	0.372	15	0.0	1	0.0	0.0	"440371:s__Rhabdochlamydia sp901000775:species;342888:g__Rhabdochlamydia:genus;280350:f__Rhabdochlamydiaceae:family;202085:o__Chlamydiales:order;202084:c__Chlamydiia:class;202083:p__Chlamydiota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
342888	"g__Rhabdochlamydia"	1	1.0	1.34	0	0	43.0	0.9767	0.395	0.372	15	0.0	1	0.0	0.0	"342888:g__Rhabdochlamydia:genus;280350:f__Rhabdochlamydiaceae:family;202085:o__Chlamydiales:order;202084:c__Chlamydiia:class;202083:p__Chlamydiota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
280350	"f__Rhabdochlamydiaceae"	1	1.0	1.34	0	0	43.0	0.9767	0.395	0.372	15	0.0	1	0.0	0.0	"280350:f__Rhabdochlamydiaceae:family;202085:o__Chlamydiales:order;202084:c__Chlamydiia:class;202083:p__Chlamydiota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
419328	"GB_GCA_018062965.1"	1	1.0	3.07	0	0	121.0	0.9504	0.612	0.612	93	0.0	1	0.0	0.0	"419328:GB_GCA_018062965.1:subspecies;419327:s__UBA11704 sp018062965:species;375951:g__UBA11704:genus;374955:f__UBA5272:family;258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
419327	"s__UBA11704 sp018062965"	1	1.0	3.07	0	0	121.0	0.9504	0.612	0.612	93	0.0	1	0.0	0.0	"419327:s__UBA11704 sp018062965:species;375951:g__UBA11704:genus;374955:f__UBA5272:family;258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
375951	"g__UBA11704"	1	1.0	3.07	0	0	121.0	0.9504	0.612	0.612	93	0.0	1	0.0	0.0	"375951:g__UBA11704:genus;374955:f__UBA5272:family;258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
374955	"f__UBA5272"	1	1.0	3.07	0	0	121.0	0.9504	0.612	0.612	93	0.0	1	0.0	0.0	"374955:f__UBA5272:family;258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
439127	"GB_GCA_003241475.1"	1	1.0	3.0	0	0	39.0	0.9744	0.59	0.59	11	0.0	1	0.0	0.0	"439127:GB_GCA_003241475.1:subspecies;439126:s__Micavibrio_A aeruginosavorus_A:species;439125:g__Micavibrio_A:genus;301761:f__Micavibrionaceae:family;301760:o__Micavibrionales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
439126	"s__Micavibrio_A aeruginosavorus_A"	1	1.0	3.0	0	0	39.0	0.9744	0.59	0.59	11	0.0	1	0.0	0.0	"439126:s__Micavibrio_A aeruginosavorus_A:species;439125:g__Micavibrio_A:genus;301761:f__Micavibrionaceae:family;301760:o__Micavibrionales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
439125	"g__Micavibrio_A"	1	1.0	3.0	0	0	39.0	0.9744	0.59	0.59	11	0.0	1	0.0	0.0	"439125:g__Micavibrio_A:genus;301761:f__Micavibrionaceae:family;301760:o__Micavibrionales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
301761	"f__Micavibrionaceae"	1	1.0	3.0	0	0	39.0	0.9744	0.59	0.59	11	0.0	1	0.0	0.0	"301761:f__Micavibrionaceae:family;301760:o__Micavibrionales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
460130	"RS_GCF_023897065.1"	1	1.0	1.67	0	0	42.0	0.9524	0.69	0.69	14	0.0	1	0.0	0.0	"460130:RS_GCF_023897065.1:subspecies;460129:s__Crossiella sp023897065:species;365646:g__Crossiella:genus;274399:f__Pseudonocardiaceae:family;101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
460129	"s__Crossiella sp023897065"	1	1.0	1.67	0	0	42.0	0.9524	0.69	0.69	14	0.0	1	0.0	0.0	"460129:s__Crossiella sp023897065:species;365646:g__Crossiella:genus;274399:f__Pseudonocardiaceae:family;101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
499332	"GB_GCA_019745575.1"	1	1.0	3.23	0	0	93.0	0.957	0.753	0.742	65	0.0	1	0.0	0.0	"499332:GB_GCA_019745575.1:subspecies;499331:s__Reyranella sp019745575:species;326476:g__Reyranella:genus;326475:f__Reyranellaceae:family;326474:o__Reyranellales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
499331	"s__Reyranella sp019745575"	1	1.0	3.23	0	0	93.0	0.957	0.753	0.742	65	0.0	1	0.0	0.0	"499331:s__Reyranella sp019745575:species;326476:g__Reyranella:genus;326475:f__Reyranellaceae:family;326474:o__Reyranellales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
442773	"RS_GCF_900141985.1"	1	1.0	2.58	1.0	0.0	33.0	0.9697	0.697	0.727	5	0.0	1	1.0	0.0	"442773:RS_GCF_900141985.1:subspecies;442772:s__Nocardiopsis flavescens:species;272736:g__Nocardiopsis:genus;272735:f__Streptosporangiaceae:family;272734:o__Streptosporangiales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
442772	"s__Nocardiopsis flavescens"	1	1.0	2.58	1.0	0.0	33.0	0.9697	0.697	0.727	5	0.0	1	1.0	0.0	"442772:s__Nocardiopsis flavescens:species;272736:g__Nocardiopsis:genus;272735:f__Streptosporangiaceae:family;272734:o__Streptosporangiales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
306170	"RS_GCF_000017585.1"	1	1.0	4.64	0	0	48.0	0.9792	0.271	0.25	20	0.0	1	0.0	0.0	"306170:RS_GCF_000017585.1:subspecies;306167:s__Campylobacter_B hominis:species;269634:g__Campylobacter_B:genus;130126:f__Campylobacteraceae:family;130125:o__Campylobacterales:order;130124:c__Campylobacteria:class;130123:p__Campylobacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
306167	"s__Campylobacter_B hominis"	1	1.0	4.64	0	0	48.0	0.9792	0.271	0.25	20	0.0	1	0.0	0.0	"306167:s__Campylobacter_B hominis:species;269634:g__Campylobacter_B:genus;130126:f__Campylobacteraceae:family;130125:o__Campylobacterales:order;130124:c__Campylobacteria:class;130123:p__Campylobacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
512434	"GB_GCA_004173415.1"	1	1.0	2.49	0	0.0	98.0	0.9694	0.582	0.612	70	0.0	1	0.0	0.0	"512434:GB_GCA_004173415.1:subspecies;512433:s__Pseudoxanthomonas_A sp004173415:species;273941:g__Pseudoxanthomonas_A:genus;177470:f__Xanthomonadaceae:family;177469:o__Xanthomonadales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
512433	"s__Pseudoxanthomonas_A sp004173415"	1	1.0	2.49	0	0.0	98.0	0.9694	0.582	0.612	70	0.0	1	0.0	0.0	"512433:s__Pseudoxanthomonas_A sp004173415:species;273941:g__Pseudoxanthomonas_A:genus;177470:f__Xanthomonadaceae:family;177469:o__Xanthomonadales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
469377	"GB_GCA_002050355.1"	1	1.0	2.49	0	0.0	62.0	0.9516	0.581	0.548	34	0.0	1	0.0	0.0	"469377:GB_GCA_002050355.1:subspecies;469376:s__GCA-002050365 sp002050355:species;356418:g__GCA-002050365:genus;302940:f__Pyrinomonadaceae:family;302939:o__Pyrinomonadales:order;295579:c__Blastocatellia:class;232780:p__Acidobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
469376	"s__GCA-002050365 sp002050355"	1	1.0	2.49	0	0.0	62.0	0.9516	0.581	0.548	34	0.0	1	0.0	0.0	"469376:s__GCA-002050365 sp002050355:species;356418:g__GCA-002050365:genus;302940:f__Pyrinomonadaceae:family;302939:o__Pyrinomonadales:order;295579:c__Blastocatellia:class;232780:p__Acidobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
356418	"g__GCA-002050365"	1	1.0	2.49	0	0.0	62.0	0.9516	0.581	0.548	34	0.0	1	0.0	0.0	"356418:g__GCA-002050365:genus;302940:f__Pyrinomonadaceae:family;302939:o__Pyrinomonadales:order;295579:c__Blastocatellia:class;232780:p__Acidobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
422973	"RS_GCF_009789075.1"	1	1.0	4.03	0	0.0	34.0	0.9706	0.706	0.676	6	0.0	1	0.0	0.0	"422973:RS_GCF_009789075.1:subspecies;422972:s__Pseudooceanicola pacificus:species;307228:g__Pseudooceanicola:genus;198019:f__Rhodobacteraceae:family;198018:o__Rhodobacterales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
422972	"s__Pseudooceanicola pacificus"	1	1.0	4.03	0	0.0	34.0	0.9706	0.706	0.676	6	0.0	1	0.0	0.0	"422972:s__Pseudooceanicola pacificus:species;307228:g__Pseudooceanicola:genus;198019:f__Rhodobacteraceae:family;198018:o__Rhodobacterales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
307228	"g__Pseudooceanicola"	1	1.0	4.03	0	0.0	34.0	0.9706	0.706	0.676	6	0.0	1	0.0	0.0	"307228:g__Pseudooceanicola:genus;198019:f__Rhodobacteraceae:family;198018:o__Rhodobacterales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
447550	"GB_GCA_023423335.1"	1	1.0	2.16	0.0	0	41.0	0.9512	0.561	0.561	13	0.0	1	0.0	0.0	"447550:GB_GCA_023423335.1:subspecies;447549:s__Mobilitalea sp023423335:species;304957:g__Mobilitalea:genus;190739:f__Lachnospiraceae:family;190738:o__Lachnospirales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
447549	"s__Mobilitalea sp023423335"	1	1.0	2.16	0.0	0	41.0	0.9512	0.561	0.561	13	0.0	1	0.0	0.0	"447549:s__Mobilitalea sp023423335:species;304957:g__Mobilitalea:genus;190739:f__Lachnospiraceae:family;190738:o__Lachnospirales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
