TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
404934	"s__UBA5004 sp024654145"	1	1.0	0.92	0	0.0	32.0	0.9688	0.406	0.375	4	0.0	1	0.0	0.0	"404934:s__UBA5004 sp024654145:species;317592:g__UBA5004:genus;274332:f__Zambryskibacteraceae:family;258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
361987	"GB_GCA_001782085.1"	1	1.0	1.51	0	0	33.0	0.9697	0.333	0.364	5	0.0	1	0.0	0.0	"361987:GB_GCA_001782085.1:subspecies;361985:s__2-01-FULL-38-21 sp001782085:species;361984:g__2-01-FULL-38-21:genus;280099:f__UBA12049:family;280098:o__Levybacterales:order;261155:c__Microgenomatia:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
361985	"s__2-01-FULL-38-21 sp001782085"	1	1.0	1.51	0	0	33.0	0.9697	0.333	0.364	5	0.0	1	0.0	0.0	"361985:s__2-01-FULL-38-21 sp001782085:species;361984:g__2-01-FULL-38-21:genus;280099:f__UBA12049:family;280098:o__Levybacterales:order;261155:c__Microgenomatia:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
498623	"RS_GCF_009766005.1"	1	1.0	1.51	0	0	37.0	0.973	0.568	0.595	9	0.0	1	0.0	0.0	"498623:RS_GCF_009766005.1:subspecies;498622:s__Bradyrhizobium sp009766005:species;227326:g__Bradyrhizobium:genus;227325:f__Xanthobacteraceae:family;161314:o__Rhizobiales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
498622	"s__Bradyrhizobium sp009766005"	1	1.0	1.51	0	0	37.0	0.973	0.568	0.595	9	0.0	1	0.0	0.0	"498622:s__Bradyrhizobium sp009766005:species;227326:g__Bradyrhizobium:genus;227325:f__Xanthobacteraceae:family;161314:o__Rhizobiales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
466762	"GB_GCA_903876465.1"	1	1.0	2.08	0.0	0	35.0	0.9714	0.4	0.371	7	0.0	1	0.0	0.0	"466762:GB_GCA_903876465.1:subspecies;466761:s__C7867-002 sp903876465:species;264783:g__C7867-002:genus;264782:f__PALSA-1337:family;258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
466761	"s__C7867-002 sp903876465"	1	1.0	2.08	0.0	0	35.0	0.9714	0.4	0.371	7	0.0	1	0.0	0.0	"466761:s__C7867-002 sp903876465:species;264783:g__C7867-002:genus;264782:f__PALSA-1337:family;258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
462517	"GB_GCA_020849615.1"	1	1.0	2.27	0	0.0	78.0	0.9744	0.679	0.692	50	0.0	1	0.0	0.0	"462517:GB_GCA_020849615.1:subspecies;462516:s__JADLFW01 sp020849615:species;462515:g__JADLFW01:genus;308637:f__UBA1924:family;274807:o__Phycisphaerales:order;267643:c__Phycisphaerae:class;260318:p__Planctomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
462516	"s__JADLFW01 sp020849615"	1	1.0	2.27	0	0.0	78.0	0.9744	0.679	0.692	50	0.0	1	0.0	0.0	"462516:s__JADLFW01 sp020849615:species;462515:g__JADLFW01:genus;308637:f__UBA1924:family;274807:o__Phycisphaerales:order;267643:c__Phycisphaerae:class;260318:p__Planctomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
462515	"g__JADLFW01"	1	1.0	2.27	0	0.0	78.0	0.9744	0.679	0.692	50	0.0	1	0.0	0.0	"462515:g__JADLFW01:genus;308637:f__UBA1924:family;274807:o__Phycisphaerales:order;267643:c__Phycisphaerae:class;260318:p__Planctomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
334400	"RS_GCF_900100165.1"	1	1.0	4.52	0	0	33.0	0.9697	0.303	0.273	5	0.0	1	0.0	0.0	"334400:RS_GCF_900100165.1:subspecies;334398:s__Flavobacterium glycines:species;190478:g__Flavobacterium:genus;190477:f__Flavobacteriaceae:family;190476:o__Flavobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
334398	"s__Flavobacterium glycines"	1	1.0	4.52	0	0	33.0	0.9697	0.303	0.273	5	0.0	1	0.0	0.0	"334398:s__Flavobacterium glycines:species;190478:g__Flavobacterium:genus;190477:f__Flavobacteriaceae:family;190476:o__Flavobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
439395	"RS_GCF_016865425.1"	1	1.0	0.81	0	0	41.0	0.9512	0.585	0.634	13	0.0	1	0.0	0.0	"439395:RS_GCF_016865425.1:subspecies;439394:s__Actinocatenispora thailandica:species;382267:g__Actinocatenispora:genus;251103:f__Micromonosporaceae:family;101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
439394	"s__Actinocatenispora thailandica"	1	1.0	0.81	0	0	41.0	0.9512	0.585	0.634	13	0.0	1	0.0	0.0	"439394:s__Actinocatenispora thailandica:species;382267:g__Actinocatenispora:genus;251103:f__Micromonosporaceae:family;101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
