TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
449257	"s__Gillisia limnaea"	2	1.0	2.85	0.0	0	60.0	0.975	0.375	0.367	64	0.0	2	0.5	0.0	"449257:s__Gillisia limnaea:species;369265:g__Gillisia:genus;190477:f__Flavobacteriaceae:family;190476:o__Flavobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
457022	"RS_GCF_015355625.1"	2	1.0	5.65	0	0	57.5	0.955	0.308	0.278	59	0.0	3	0.0	0.0	"457022:RS_GCF_015355625.1:subspecies;457021:s__Tamlana_A sp015355625:species;336444:g__Tamlana_A:genus;190477:f__Flavobacteriaceae:family;190476:o__Flavobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
457021	"s__Tamlana_A sp015355625"	2	1.0	5.65	0	0	57.5	0.955	0.308	0.278	59	0.0	3	0.0	0.0	"457021:s__Tamlana_A sp015355625:species;336444:g__Tamlana_A:genus;190477:f__Flavobacteriaceae:family;190476:o__Flavobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
481777	"GB_GCA_943356445.1"	2	1.0	2.84	0.0	0	63.5	0.963	0.344	0.339	71	0.0	2	0.0	0.0	"481777:GB_GCA_943356445.1:subspecies;481776:s__CAIJYI01 sp943356445:species;282473:g__CAIJYI01:genus;282472:f__CAIJYI01:family;258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
481776	"s__CAIJYI01 sp943356445"	2	1.0	2.84	0.0	0	63.5	0.963	0.344	0.339	71	0.0	2	0.0	0.0	"481776:s__CAIJYI01 sp943356445:species;282473:g__CAIJYI01:genus;282472:f__CAIJYI01:family;258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
282473	"g__CAIJYI01"	2	1.0	2.84	0.0	0	63.5	0.963	0.344	0.339	71	0.0	2	0.0	0.0	"282473:g__CAIJYI01:genus;282472:f__CAIJYI01:family;258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
282472	"f__CAIJYI01"	2	1.0	2.84	0.0	0	63.5	0.963	0.344	0.339	71	0.0	2	0.0	0.0	"282472:f__CAIJYI01:family;258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
342069	"GB_GCA_002257045.1"	2	1.0	2.25	0	0	57.0	0.9556	0.554	0.579	58	0.0	2	0.0	0.0	"342069:GB_GCA_002257045.1:subspecies;342066:s__Thiobacillus sp002257045:species;308223:g__Thiobacillus:genus;249953:f__Thiobacillaceae:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
342066	"s__Thiobacillus sp002257045"	2	1.0	2.25	0	0	57.0	0.9556	0.554	0.579	58	0.0	2	0.0	0.0	"342066:s__Thiobacillus sp002257045:species;308223:g__Thiobacillus:genus;249953:f__Thiobacillaceae:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
410197	"GB_GCA_003476595.1"	2	1.0	2.45	0.0	0.0	56.0	0.9642	0.715	0.705	56	0.0	2	0.0	0.0	"410197:GB_GCA_003476595.1:subspecies;410196:s__UBA9382 sp003476595:species;410195:g__UBA9382:genus;378451:f__JACDCH01:family;246208:o__Acidimicrobiales:order;245798:c__Acidimicrobiia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
